;name;distance;dist_change;power;accuracy;complexity;stam_cost;time_cost;qi_cost;features;functions;tier;freq
7072;Onslaught Energy Knee;3;-2;32;25;3;30;98;20;{'onslaught', 'knee', 'energy'};['do_qi_based_dam'];4;1
7073;Skillful Onslaught Energy Knee;3;-2;34;26;3;36;93;25;{'onslaught', 'skillful', 'knee', 'energy'};['do_qi_based_dam'];5;1
7074;Superior Onslaught Energy Knee;3;-2;35;28;3;39;88;30;{'onslaught', 'knee', 'superior', 'energy'};['do_qi_based_dam'];6;1
7075;Advanced Onslaught Energy Knee;3;-2;37;29;3;42;83;35;{'advanced', 'onslaught', 'knee', 'energy'};['do_qi_based_dam'];7;1
7076;Expert Onslaught Energy Knee;3;-2;38;30;3;45;78;40;{'onslaught', 'expert', 'knee', 'energy'};['do_qi_based_dam'];8;1
7077;Ultimate Onslaught Energy Knee;3;-2;40;31;3;48;74;45;{'onslaught', 'knee', 'ultimate', 'energy'};['do_qi_based_dam'];9;1
7078;Onslaught Ferocious Knee;3;-2;32;25;3;36;98;25;{'onslaught', 'ferocious', 'knee'};['do_speed_based_dam', 'do_strength_based_dam'];5;1
7079;Skillful Onslaught Ferocious Knee;3;-2;34;26;3;43;93;30;{'onslaught', 'skillful', 'ferocious', 'knee'};['do_speed_based_dam', 'do_strength_based_dam'];6;1
7080;Superior Onslaught Ferocious Knee;3;-2;35;28;3;47;88;35;{'onslaught', 'ferocious', 'knee', 'superior'};['do_speed_based_dam', 'do_strength_based_dam'];7;1
7081;Advanced Onslaught Ferocious Knee;3;-2;37;29;3;50;83;40;{'advanced', 'onslaught', 'ferocious', 'knee'};['do_speed_based_dam', 'do_strength_based_dam'];8;1
7082;Expert Onslaught Ferocious Knee;3;-2;38;30;3;54;78;45;{'onslaught', 'expert', 'ferocious', 'knee'};['do_speed_based_dam', 'do_strength_based_dam'];9;1
7083;Ultimate Onslaught Ferocious Knee;3;-2;40;31;3;58;74;50;{'onslaught', 'ferocious', 'knee', 'ultimate'};['do_speed_based_dam', 'do_strength_based_dam'];10;1
7084;Onslaught Piercing Knee;3;-2;32;25;3;36;98;25;{'onslaught', 'piercing', 'knee'};['do_agility_based_dam', 'do_speed_based_dam'];5;1
7085;Skillful Onslaught Piercing Knee;3;-2;34;26;3;43;93;30;{'onslaught', 'piercing', 'skillful', 'knee'};['do_agility_based_dam', 'do_speed_based_dam'];6;1
7086;Superior Onslaught Piercing Knee;3;-2;35;28;3;47;88;35;{'onslaught', 'piercing', 'knee', 'superior'};['do_agility_based_dam', 'do_speed_based_dam'];7;1
7087;Advanced Onslaught Piercing Knee;3;-2;37;29;3;50;83;40;{'advanced', 'onslaught', 'piercing', 'knee'};['do_agility_based_dam', 'do_speed_based_dam'];8;1
7088;Expert Onslaught Piercing Knee;3;-2;38;30;3;54;78;45;{'onslaught', 'piercing', 'expert', 'knee'};['do_agility_based_dam', 'do_speed_based_dam'];9;1
7089;Ultimate Onslaught Piercing Knee;3;-2;40;31;3;58;74;50;{'onslaught', 'piercing', 'knee', 'ultimate'};['do_agility_based_dam', 'do_speed_based_dam'];10;1
7090;Onslaught Shocking Knee;3;-2;32;25;3;30;98;20;{'onslaught', 'knee', 'shocking'};['do_shock_move'];4;1
7091;Skillful Onslaught Shocking Knee;3;-2;34;26;3;36;93;25;{'onslaught', 'skillful', 'knee', 'shocking'};['do_shock_move'];5;1
7092;Superior Onslaught Shocking Knee;3;-2;35;28;3;39;88;30;{'onslaught', 'knee', 'superior', 'shocking'};['do_shock_move'];6;1
7093;Advanced Onslaught Shocking Knee;3;-2;37;29;3;42;83;35;{'advanced', 'onslaught', 'knee', 'shocking'};['do_shock_move'];7;1
7094;Expert Onslaught Shocking Knee;3;-2;38;30;3;45;78;40;{'onslaught', 'expert', 'knee', 'shocking'};['do_shock_move'];8;1
7095;Ultimate Onslaught Shocking Knee;3;-2;40;31;3;48;74;45;{'onslaught', 'knee', 'ultimate', 'shocking'};['do_shock_move'];9;1
7096;Onslaught Solar Knee;3;-2;32;25;3;30;98;20;{'solar', 'onslaught', 'knee'};['do_stam_dam'];4;1
7097;Skillful Onslaught Solar Knee;3;-2;34;26;3;36;93;25;{'solar', 'onslaught', 'skillful', 'knee'};['do_stam_dam'];5;1
7098;Superior Onslaught Solar Knee;3;-2;35;28;3;39;88;30;{'solar', 'onslaught', 'knee', 'superior'};['do_stam_dam'];6;1
7099;Advanced Onslaught Solar Knee;3;-2;37;29;3;42;83;35;{'solar', 'onslaught', 'advanced', 'knee'};['do_stam_dam'];7;1
7100;Expert Onslaught Solar Knee;3;-2;38;30;3;45;78;40;{'solar', 'onslaught', 'expert', 'knee'};['do_stam_dam'];8;1
7101;Ultimate Onslaught Solar Knee;3;-2;40;31;3;48;74;45;{'solar', 'onslaught', 'knee', 'ultimate'};['do_stam_dam'];9;1
7102;Onslaught Nerve Knee;3;-2;32;25;3;30;98;20;{'onslaught', 'nerve', 'knee'};['do_mob_dam'];4;1
7103;Skillful Onslaught Nerve Knee;3;-2;34;26;3;36;93;25;{'onslaught', 'skillful', 'nerve', 'knee'};['do_mob_dam'];5;1
7104;Superior Onslaught Nerve Knee;3;-2;35;28;3;39;88;30;{'onslaught', 'nerve', 'knee', 'superior'};['do_mob_dam'];6;1
7105;Advanced Onslaught Nerve Knee;3;-2;37;29;3;42;83;35;{'advanced', 'onslaught', 'nerve', 'knee'};['do_mob_dam'];7;1
7106;Expert Onslaught Nerve Knee;3;-2;38;30;3;45;78;40;{'onslaught', 'expert', 'nerve', 'knee'};['do_mob_dam'];8;1
7107;Ultimate Onslaught Nerve Knee;3;-2;40;31;3;48;74;45;{'onslaught', 'nerve', 'knee', 'ultimate'};['do_mob_dam'];9;1
7108;Onslaught Debilitating Knee;3;-2;32;25;3;30;98;30;{'debilitating', 'onslaught', 'knee'};['do_shock_move', 'do_stam_dam', 'do_mob_dam'];6;1
7109;Skillful Onslaught Debilitating Knee;3;-2;34;26;3;36;93;35;{'debilitating', 'onslaught', 'skillful', 'knee'};['do_shock_move', 'do_stam_dam', 'do_mob_dam'];7;1
7110;Superior Onslaught Debilitating Knee;3;-2;35;28;3;39;88;40;{'debilitating', 'onslaught', 'knee', 'superior'};['do_shock_move', 'do_stam_dam', 'do_mob_dam'];8;1
7111;Advanced Onslaught Debilitating Knee;3;-2;37;29;3;42;83;45;{'debilitating', 'onslaught', 'advanced', 'knee'};['do_shock_move', 'do_stam_dam', 'do_mob_dam'];9;1
7112;Expert Onslaught Debilitating Knee;3;-2;38;30;3;45;78;50;{'debilitating', 'onslaught', 'expert', 'knee'};['do_shock_move', 'do_stam_dam', 'do_mob_dam'];10;1
7113;Ultimate Onslaught Debilitating Knee;3;-2;40;31;3;48;74;55;{'debilitating', 'onslaught', 'knee', 'ultimate'};['do_shock_move', 'do_stam_dam', 'do_mob_dam'];11;1
7114;Onslaught Slashing Knee;3;-2;32;25;3;30;98;20;{'onslaught', 'slashing', 'knee'};['cause_bleeding'];4;1
7115;Skillful Onslaught Slashing Knee;3;-2;34;26;3;36;93;25;{'onslaught', 'skillful', 'slashing', 'knee'};['cause_bleeding'];5;1
7116;Superior Onslaught Slashing Knee;3;-2;35;28;3;39;88;30;{'onslaught', 'slashing', 'knee', 'superior'};['cause_bleeding'];6;1
7117;Advanced Onslaught Slashing Knee;3;-2;37;29;3;42;83;35;{'advanced', 'onslaught', 'slashing', 'knee'};['cause_bleeding'];7;1
7118;Expert Onslaught Slashing Knee;3;-2;38;30;3;45;78;40;{'onslaught', 'expert', 'slashing', 'knee'};['cause_bleeding'];8;1
7119;Ultimate Onslaught Slashing Knee;3;-2;40;31;3;48;74;45;{'onslaught', 'slashing', 'knee', 'ultimate'};['cause_bleeding'];9;1
7120;Onslaught Drunken Knee;3;-2;32;25;4;30;98;15;{'onslaught', 'knee', 'drunken'};['cause_off_balance'];3;1
7121;Skillful Onslaught Drunken Knee;3;-2;34;26;4;36;93;20;{'onslaught', 'skillful', 'knee', 'drunken'};['cause_off_balance'];4;1
7122;Superior Onslaught Drunken Knee;3;-2;35;28;4;39;88;25;{'onslaught', 'knee', 'drunken', 'superior'};['cause_off_balance'];5;1
7123;Advanced Onslaught Drunken Knee;3;-2;37;29;4;42;83;30;{'advanced', 'onslaught', 'knee', 'drunken'};['cause_off_balance'];6;1
7124;Expert Onslaught Drunken Knee;3;-2;38;30;4;45;78;35;{'onslaught', 'expert', 'knee', 'drunken'};['cause_off_balance'];7;1
7125;Ultimate Onslaught Drunken Knee;3;-2;40;31;4;48;74;40;{'onslaught', 'knee', 'drunken', 'ultimate'};['cause_off_balance'];8;1
7126;Vanishing Knee;1;2;32;25;3;31;102;10;{'vanishing', 'knee'};[];2;1
7127;Skillful Vanishing Knee;1;2;34;26;3;37;97;15;{'vanishing', 'skillful', 'knee'};[];3;1
7128;Superior Vanishing Knee;1;2;35;28;3;40;92;20;{'vanishing', 'knee', 'superior'};[];4;1
7129;Advanced Vanishing Knee;1;2;37;29;3;43;87;25;{'vanishing', 'advanced', 'knee'};[];5;1
7130;Expert Vanishing Knee;1;2;38;30;3;46;82;30;{'vanishing', 'expert', 'knee'};[];6;1
7131;Ultimate Vanishing Knee;1;2;40;31;3;50;76;35;{'vanishing', 'knee', 'ultimate'};[];7;1
7132;Vanishing Light Knee;1;2;26;28;3;24;102;15;{'vanishing', 'light', 'knee'};[];3;1
7133;Skillful Vanishing Light Knee;1;2;27;29;3;29;97;20;{'vanishing', 'light', 'skillful', 'knee'};[];4;1
7134;Superior Vanishing Light Knee;1;2;29;31;3;31;92;25;{'vanishing', 'light', 'knee', 'superior'};[];5;1
7135;Advanced Vanishing Light Knee;1;2;30;32;3;34;87;30;{'vanishing', 'light', 'advanced', 'knee'};[];6;1
7136;Expert Vanishing Light Knee;1;2;31;34;3;36;82;35;{'vanishing', 'light', 'knee', 'expert'};[];7;1
7137;Ultimate Vanishing Light Knee;1;2;32;35;3;38;76;40;{'vanishing', 'light', 'knee', 'ultimate'};[];8;1
7138;Vanishing Heavy Knee;1;2;38;22;3;39;102;15;{'vanishing', 'knee', 'heavy'};[];3;1
7139;Skillful Vanishing Heavy Knee;1;2;40;23;3;47;97;20;{'vanishing', 'skillful', 'knee', 'heavy'};[];4;1
7140;Superior Vanishing Heavy Knee;1;2;42;24;3;51;92;25;{'vanishing', 'knee', 'heavy', 'superior'};[];5;1
7141;Advanced Vanishing Heavy Knee;1;2;44;25;3;55;87;30;{'vanishing', 'advanced', 'knee', 'heavy'};[];6;1
7142;Expert Vanishing Heavy Knee;1;2;46;26;3;58;82;35;{'vanishing', 'expert', 'knee', 'heavy'};[];7;1
7143;Ultimate Vanishing Heavy Knee;1;2;48;28;3;62;76;40;{'vanishing', 'knee', 'heavy', 'ultimate'};[];8;1
7144;Vanishing Power Knee;1;2;32;25;3;31;102;20;{'vanishing', 'knee', 'power'};['do_strength_based_dam'];4;1
7145;Skillful Vanishing Power Knee;1;2;34;26;3;37;97;25;{'vanishing', 'skillful', 'knee', 'power'};['do_strength_based_dam'];5;1
7146;Superior Vanishing Power Knee;1;2;35;28;3;40;92;30;{'vanishing', 'knee', 'power', 'superior'};['do_strength_based_dam'];6;1
7147;Advanced Vanishing Power Knee;1;2;37;29;3;43;87;35;{'vanishing', 'advanced', 'knee', 'power'};['do_strength_based_dam'];7;1
7148;Expert Vanishing Power Knee;1;2;38;30;3;46;82;40;{'vanishing', 'expert', 'knee', 'power'};['do_strength_based_dam'];8;1
7149;Ultimate Vanishing Power Knee;1;2;40;31;3;50;76;45;{'vanishing', 'knee', 'power', 'ultimate'};['do_strength_based_dam'];9;1
7150;Vanishing Trick Knee;1;2;32;25;3;31;102;20;{'trick', 'vanishing', 'knee'};['do_agility_based_dam'];4;1
7151;Skillful Vanishing Trick Knee;1;2;34;26;3;37;97;25;{'trick', 'skillful', 'vanishing', 'knee'};['do_agility_based_dam'];5;1
7152;Superior Vanishing Trick Knee;1;2;35;28;3;40;92;30;{'trick', 'vanishing', 'knee', 'superior'};['do_agility_based_dam'];6;1
7153;Advanced Vanishing Trick Knee;1;2;37;29;3;43;87;35;{'trick', 'advanced', 'vanishing', 'knee'};['do_agility_based_dam'];7;1
7154;Expert Vanishing Trick Knee;1;2;38;30;3;46;82;40;{'trick', 'expert', 'vanishing', 'knee'};['do_agility_based_dam'];8;1
7155;Ultimate Vanishing Trick Knee;1;2;40;31;3;50;76;45;{'trick', 'vanishing', 'knee', 'ultimate'};['do_agility_based_dam'];9;1
7156;Vanishing Lightning Knee;1;2;32;25;3;31;102;20;{'vanishing', 'knee', 'lightning'};['do_speed_based_dam'];4;1
7157;Skillful Vanishing Lightning Knee;1;2;34;26;3;37;97;25;{'vanishing', 'skillful', 'knee', 'lightning'};['do_speed_based_dam'];5;1
7158;Superior Vanishing Lightning Knee;1;2;35;28;3;40;92;30;{'vanishing', 'knee', 'lightning', 'superior'};['do_speed_based_dam'];6;1
7159;Advanced Vanishing Lightning Knee;1;2;37;29;3;43;87;35;{'vanishing', 'advanced', 'knee', 'lightning'};['do_speed_based_dam'];7;1
7160;Expert Vanishing Lightning Knee;1;2;38;30;3;46;82;40;{'vanishing', 'expert', 'knee', 'lightning'};['do_speed_based_dam'];8;1
7161;Ultimate Vanishing Lightning Knee;1;2;40;31;3;50;76;45;{'vanishing', 'knee', 'lightning', 'ultimate'};['do_speed_based_dam'];9;1
7162;Vanishing Energy Knee;1;2;32;25;3;31;102;20;{'vanishing', 'knee', 'energy'};['do_qi_based_dam'];4;1
7163;Skillful Vanishing Energy Knee;1;2;34;26;3;37;97;25;{'vanishing', 'skillful', 'knee', 'energy'};['do_qi_based_dam'];5;1
7164;Superior Vanishing Energy Knee;1;2;35;28;3;40;92;30;{'vanishing', 'knee', 'superior', 'energy'};['do_qi_based_dam'];6;1
7165;Advanced Vanishing Energy Knee;1;2;37;29;3;43;87;35;{'vanishing', 'advanced', 'knee', 'energy'};['do_qi_based_dam'];7;1
7166;Expert Vanishing Energy Knee;1;2;38;30;3;46;82;40;{'vanishing', 'expert', 'knee', 'energy'};['do_qi_based_dam'];8;1
7167;Ultimate Vanishing Energy Knee;1;2;40;31;3;50;76;45;{'vanishing', 'ultimate', 'knee', 'energy'};['do_qi_based_dam'];9;1
7168;Vanishing Piercing Knee;1;2;32;25;3;38;102;25;{'vanishing', 'piercing', 'knee'};['do_agility_based_dam', 'do_speed_based_dam'];5;1
7169;Skillful Vanishing Piercing Knee;1;2;34;26;3;46;97;30;{'vanishing', 'piercing', 'skillful', 'knee'};['do_agility_based_dam', 'do_speed_based_dam'];6;1
7170;Superior Vanishing Piercing Knee;1;2;35;28;3;49;92;35;{'vanishing', 'piercing', 'knee', 'superior'};['do_agility_based_dam', 'do_speed_based_dam'];7;1
7171;Advanced Vanishing Piercing Knee;1;2;37;29;3;53;87;40;{'vanishing', 'piercing', 'advanced', 'knee'};['do_agility_based_dam', 'do_speed_based_dam'];8;1
7172;Expert Vanishing Piercing Knee;1;2;38;30;3;57;82;45;{'vanishing', 'piercing', 'expert', 'knee'};['do_agility_based_dam', 'do_speed_based_dam'];9;1
7173;Ultimate Vanishing Piercing Knee;1;2;40;31;3;61;76;50;{'vanishing', 'piercing', 'knee', 'ultimate'};['do_agility_based_dam', 'do_speed_based_dam'];10;1
7174;Vanishing Shocking Knee;1;2;32;25;3;31;102;20;{'vanishing', 'knee', 'shocking'};['do_shock_move'];4;1
7175;Skillful Vanishing Shocking Knee;1;2;34;26;3;37;97;25;{'vanishing', 'skillful', 'knee', 'shocking'};['do_shock_move'];5;1
7176;Superior Vanishing Shocking Knee;1;2;35;28;3;40;92;30;{'vanishing', 'knee', 'superior', 'shocking'};['do_shock_move'];6;1
7177;Advanced Vanishing Shocking Knee;1;2;37;29;3;43;87;35;{'vanishing', 'advanced', 'knee', 'shocking'};['do_shock_move'];7;1
7178;Expert Vanishing Shocking Knee;1;2;38;30;3;46;82;40;{'vanishing', 'expert', 'knee', 'shocking'};['do_shock_move'];8;1
7179;Ultimate Vanishing Shocking Knee;1;2;40;31;3;50;76;45;{'vanishing', 'ultimate', 'knee', 'shocking'};['do_shock_move'];9;1
7180;Vanishing Solar Knee;1;2;32;25;3;31;102;20;{'solar', 'vanishing', 'knee'};['do_stam_dam'];4;1
7181;Skillful Vanishing Solar Knee;1;2;34;26;3;37;97;25;{'solar', 'skillful', 'vanishing', 'knee'};['do_stam_dam'];5;1
7182;Superior Vanishing Solar Knee;1;2;35;28;3;40;92;30;{'solar', 'vanishing', 'knee', 'superior'};['do_stam_dam'];6;1
7183;Advanced Vanishing Solar Knee;1;2;37;29;3;43;87;35;{'solar', 'advanced', 'vanishing', 'knee'};['do_stam_dam'];7;1
7184;Expert Vanishing Solar Knee;1;2;38;30;3;46;82;40;{'solar', 'expert', 'vanishing', 'knee'};['do_stam_dam'];8;1
7185;Ultimate Vanishing Solar Knee;1;2;40;31;3;50;76;45;{'solar', 'vanishing', 'knee', 'ultimate'};['do_stam_dam'];9;1
7186;Vanishing Nerve Knee;1;2;32;25;3;31;102;20;{'vanishing', 'nerve', 'knee'};['do_mob_dam'];4;1
7187;Skillful Vanishing Nerve Knee;1;2;34;26;3;37;97;25;{'vanishing', 'skillful', 'nerve', 'knee'};['do_mob_dam'];5;1
7188;Superior Vanishing Nerve Knee;1;2;35;28;3;40;92;30;{'vanishing', 'nerve', 'knee', 'superior'};['do_mob_dam'];6;1
7189;Advanced Vanishing Nerve Knee;1;2;37;29;3;43;87;35;{'vanishing', 'advanced', 'nerve', 'knee'};['do_mob_dam'];7;1
7190;Expert Vanishing Nerve Knee;1;2;38;30;3;46;82;40;{'vanishing', 'expert', 'nerve', 'knee'};['do_mob_dam'];8;1
7191;Ultimate Vanishing Nerve Knee;1;2;40;31;3;50;76;45;{'vanishing', 'nerve', 'knee', 'ultimate'};['do_mob_dam'];9;1
7192;Vanishing Debilitating Knee;1;2;32;25;3;31;102;30;{'debilitating', 'vanishing', 'knee'};['do_shock_move', 'do_stam_dam', 'do_mob_dam'];6;1
7193;Skillful Vanishing Debilitating Knee;1;2;34;26;3;37;97;35;{'debilitating', 'skillful', 'vanishing', 'knee'};['do_shock_move', 'do_stam_dam', 'do_mob_dam'];7;1
7194;Superior Vanishing Debilitating Knee;1;2;35;28;3;40;92;40;{'debilitating', 'vanishing', 'knee', 'superior'};['do_shock_move', 'do_stam_dam', 'do_mob_dam'];8;1
7195;Advanced Vanishing Debilitating Knee;1;2;37;29;3;43;87;45;{'debilitating', 'advanced', 'vanishing', 'knee'};['do_shock_move', 'do_stam_dam', 'do_mob_dam'];9;1
7196;Expert Vanishing Debilitating Knee;1;2;38;30;3;46;82;50;{'debilitating', 'expert', 'vanishing', 'knee'};['do_shock_move', 'do_stam_dam', 'do_mob_dam'];10;1
7197;Ultimate Vanishing Debilitating Knee;1;2;40;31;3;50;76;55;{'debilitating', 'vanishing', 'knee', 'ultimate'};['do_shock_move', 'do_stam_dam', 'do_mob_dam'];11;1
7198;Vanishing Slashing Knee;1;2;32;25;3;31;102;20;{'vanishing', 'slashing', 'knee'};['cause_bleeding'];4;1
7199;Skillful Vanishing Slashing Knee;1;2;34;26;3;37;97;25;{'vanishing', 'skillful', 'slashing', 'knee'};['cause_bleeding'];5;1
7200;Superior Vanishing Slashing Knee;1;2;35;28;3;40;92;30;{'vanishing', 'slashing', 'knee', 'superior'};['cause_bleeding'];6;1
7201;Advanced Vanishing Slashing Knee;1;2;37;29;3;43;87;35;{'vanishing', 'advanced', 'slashing', 'knee'};['cause_bleeding'];7;1
7202;Expert Vanishing Slashing Knee;1;2;38;30;3;46;82;40;{'vanishing', 'expert', 'slashing', 'knee'};['cause_bleeding'];8;1
7203;Ultimate Vanishing Slashing Knee;1;2;40;31;3;50;76;45;{'vanishing', 'slashing', 'knee', 'ultimate'};['cause_bleeding'];9;1
7204;Vanishing Drunken Knee;1;2;32;25;4;31;102;15;{'vanishing', 'knee', 'drunken'};['cause_off_balance'];3;1
7205;Skillful Vanishing Drunken Knee;1;2;34;26;4;37;97;20;{'vanishing', 'skillful', 'knee', 'drunken'};['cause_off_balance'];4;1
7206;Superior Vanishing Drunken Knee;1;2;35;28;4;40;92;25;{'vanishing', 'knee', 'drunken', 'superior'};['cause_off_balance'];5;1
7207;Advanced Vanishing Drunken Knee;1;2;37;29;4;43;87;30;{'vanishing', 'advanced', 'knee', 'drunken'};['cause_off_balance'];6;1
7208;Expert Vanishing Drunken Knee;1;2;38;30;4;46;82;35;{'vanishing', 'expert', 'knee', 'drunken'};['cause_off_balance'];7;1
7209;Ultimate Vanishing Drunken Knee;1;2;40;31;4;50;76;40;{'vanishing', 'knee', 'drunken', 'ultimate'};['cause_off_balance'];8;1
7210;Pushing Heavy Knee;1;0;38;22;2;31;70;10;{'pushing', 'knee', 'heavy'};['do_knockback'];2;2
7211;Skillful Pushing Heavy Knee;1;0;40;23;2;37;66;15;{'skillful', 'pushing', 'knee', 'heavy'};['do_knockback'];3;2
7212;Superior Pushing Heavy Knee;1;0;42;24;2;40;63;20;{'pushing', 'knee', 'heavy', 'superior'};['do_knockback'];4;2
7213;Advanced Pushing Heavy Knee;1;0;44;25;2;43;60;25;{'advanced', 'pushing', 'knee', 'heavy'};['do_knockback'];5;2
7214;Expert Pushing Heavy Knee;1;0;46;26;2;46;56;30;{'expert', 'pushing', 'knee', 'heavy'};['do_knockback'];6;2
7215;Ultimate Pushing Heavy Knee;1;0;48;28;2;50;52;35;{'pushing', 'knee', 'heavy', 'ultimate'};['do_knockback'];7;2
7216;Pushing Power Knee;1;0;32;25;2;25;70;15;{'pushing', 'knee', 'power'};['do_strength_based_dam', 'do_knockback'];3;2
7217;Skillful Pushing Power Knee;1;0;34;26;2;30;66;20;{'skillful', 'pushing', 'knee', 'power'};['do_strength_based_dam', 'do_knockback'];4;2
7218;Superior Pushing Power Knee;1;0;35;28;2;32;63;25;{'pushing', 'knee', 'power', 'superior'};['do_strength_based_dam', 'do_knockback'];5;2
7219;Advanced Pushing Power Knee;1;0;37;29;2;35;60;30;{'advanced', 'pushing', 'knee', 'power'};['do_strength_based_dam', 'do_knockback'];6;2
7220;Expert Pushing Power Knee;1;0;38;30;2;38;56;35;{'expert', 'pushing', 'knee', 'power'};['do_strength_based_dam', 'do_knockback'];7;2
7221;Ultimate Pushing Power Knee;1;0;40;31;2;40;52;40;{'pushing', 'knee', 'power', 'ultimate'};['do_strength_based_dam', 'do_knockback'];8;2
7222;Pushing Trick Knee;1;0;32;25;2;25;70;15;{'trick', 'pushing', 'knee'};['do_agility_based_dam', 'do_knockback'];3;2
7223;Skillful Pushing Trick Knee;1;0;34;26;2;30;66;20;{'trick', 'skillful', 'pushing', 'knee'};['do_agility_based_dam', 'do_knockback'];4;2
7224;Superior Pushing Trick Knee;1;0;35;28;2;32;63;25;{'trick', 'pushing', 'knee', 'superior'};['do_agility_based_dam', 'do_knockback'];5;2
7225;Advanced Pushing Trick Knee;1;0;37;29;2;35;60;30;{'trick', 'advanced', 'pushing', 'knee'};['do_agility_based_dam', 'do_knockback'];6;2
7226;Expert Pushing Trick Knee;1;0;38;30;2;38;56;35;{'trick', 'expert', 'pushing', 'knee'};['do_agility_based_dam', 'do_knockback'];7;2
7227;Ultimate Pushing Trick Knee;1;0;40;31;2;40;52;40;{'trick', 'pushing', 'knee', 'ultimate'};['do_agility_based_dam', 'do_knockback'];8;2
7228;Pushing Energy Knee;1;0;32;25;2;25;70;15;{'pushing', 'knee', 'energy'};['do_qi_based_dam', 'do_knockback'];3;2
7229;Skillful Pushing Energy Knee;1;0;34;26;2;30;66;20;{'skillful', 'pushing', 'knee', 'energy'};['do_qi_based_dam', 'do_knockback'];4;2
7230;Superior Pushing Energy Knee;1;0;35;28;2;32;63;25;{'pushing', 'knee', 'superior', 'energy'};['do_qi_based_dam', 'do_knockback'];5;2
7231;Advanced Pushing Energy Knee;1;0;37;29;2;35;60;30;{'advanced', 'pushing', 'knee', 'energy'};['do_qi_based_dam', 'do_knockback'];6;2
7232;Expert Pushing Energy Knee;1;0;38;30;2;38;56;35;{'expert', 'pushing', 'knee', 'energy'};['do_qi_based_dam', 'do_knockback'];7;2
7233;Ultimate Pushing Energy Knee;1;0;40;31;2;40;52;40;{'ultimate', 'pushing', 'knee', 'energy'};['do_qi_based_dam', 'do_knockback'];8;2
7234;Pushing Shocking Knee;1;0;32;25;2;25;70;15;{'pushing', 'knee', 'shocking'};['do_shock_move', 'do_knockback'];3;2
7235;Skillful Pushing Shocking Knee;1;0;34;26;2;30;66;20;{'skillful', 'pushing', 'knee', 'shocking'};['do_shock_move', 'do_knockback'];4;2
7236;Superior Pushing Shocking Knee;1;0;35;28;2;32;63;25;{'pushing', 'knee', 'superior', 'shocking'};['do_shock_move', 'do_knockback'];5;2
7237;Advanced Pushing Shocking Knee;1;0;37;29;2;35;60;30;{'advanced', 'pushing', 'knee', 'shocking'};['do_shock_move', 'do_knockback'];6;2
7238;Expert Pushing Shocking Knee;1;0;38;30;2;38;56;35;{'expert', 'pushing', 'knee', 'shocking'};['do_shock_move', 'do_knockback'];7;2
7239;Ultimate Pushing Shocking Knee;1;0;40;31;2;40;52;40;{'ultimate', 'pushing', 'knee', 'shocking'};['do_shock_move', 'do_knockback'];8;2
7240;Pushing Solar Knee;1;0;32;25;2;25;70;15;{'solar', 'pushing', 'knee'};['do_stam_dam', 'do_knockback'];3;2
7241;Skillful Pushing Solar Knee;1;0;34;26;2;30;66;20;{'solar', 'skillful', 'pushing', 'knee'};['do_stam_dam', 'do_knockback'];4;2
7242;Superior Pushing Solar Knee;1;0;35;28;2;32;63;25;{'solar', 'pushing', 'knee', 'superior'};['do_stam_dam', 'do_knockback'];5;2
7243;Advanced Pushing Solar Knee;1;0;37;29;2;35;60;30;{'solar', 'advanced', 'pushing', 'knee'};['do_stam_dam', 'do_knockback'];6;2
7244;Expert Pushing Solar Knee;1;0;38;30;2;38;56;35;{'solar', 'expert', 'pushing', 'knee'};['do_stam_dam', 'do_knockback'];7;2
7245;Ultimate Pushing Solar Knee;1;0;40;31;2;40;52;40;{'solar', 'pushing', 'knee', 'ultimate'};['do_stam_dam', 'do_knockback'];8;2
7246;Pushing Nerve Knee;1;0;32;25;2;25;70;15;{'nerve', 'knee', 'pushing'};['do_mob_dam', 'do_knockback'];3;2
7247;Skillful Pushing Nerve Knee;1;0;34;26;2;30;66;20;{'skillful', 'nerve', 'knee', 'pushing'};['do_mob_dam', 'do_knockback'];4;2
7248;Superior Pushing Nerve Knee;1;0;35;28;2;32;63;25;{'nerve', 'knee', 'pushing', 'superior'};['do_mob_dam', 'do_knockback'];5;2
7249;Advanced Pushing Nerve Knee;1;0;37;29;2;35;60;30;{'advanced', 'nerve', 'knee', 'pushing'};['do_mob_dam', 'do_knockback'];6;2
7250;Expert Pushing Nerve Knee;1;0;38;30;2;38;56;35;{'expert', 'nerve', 'knee', 'pushing'};['do_mob_dam', 'do_knockback'];7;2
7251;Ultimate Pushing Nerve Knee;1;0;40;31;2;40;52;40;{'nerve', 'knee', 'pushing', 'ultimate'};['do_mob_dam', 'do_knockback'];8;2
7252;Pushing Drunken Knee;1;0;32;25;3;25;70;10;{'pushing', 'knee', 'drunken'};['cause_off_balance', 'do_knockback'];2;2
7253;Skillful Pushing Drunken Knee;1;0;34;26;3;30;66;15;{'skillful', 'pushing', 'knee', 'drunken'};['cause_off_balance', 'do_knockback'];3;2
7254;Superior Pushing Drunken Knee;1;0;35;28;3;32;63;20;{'pushing', 'knee', 'drunken', 'superior'};['cause_off_balance', 'do_knockback'];4;2
7255;Advanced Pushing Drunken Knee;1;0;37;29;3;35;60;25;{'advanced', 'pushing', 'knee', 'drunken'};['cause_off_balance', 'do_knockback'];5;2
